,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
83,59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown
86,56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,1,-1,0,unknown
87,41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown
129,55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,-1,0,unknown
168,54,admin.,married,tertiary,no,184,no,no,unknown,5,may,673,2,-1,0,unknown
270,42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,-1,0,unknown
388,56,management,married,tertiary,no,830,yes,yes,unknown,6,may,1201,1,-1,0,unknown
390,60,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030,1,-1,0,unknown
446,39,technician,single,unknown,no,45248,yes,no,unknown,6,may,1623,1,-1,0,unknown
457,37,technician,married,secondary,no,1,yes,no,unknown,6,may,608,1,-1,0,unknown
474,34,admin.,married,secondary,no,869,no,no,unknown,6,may,1677,1,-1,0,unknown
512,55,unemployed,divorced,secondary,no,387,yes,no,unknown,6,may,918,1,-1,0,unknown
569,28,services,single,secondary,no,5090,yes,no,unknown,6,may,1297,3,-1,0,unknown
624,30,technician,married,secondary,no,484,yes,no,unknown,6,may,703,1,-1,0,unknown
694,36,technician,married,secondary,no,368,yes,yes,unknown,6,may,1597,2,-1,0,unknown
849,37,admin.,single,secondary,no,245,yes,yes,unknown,7,may,732,2,-1,0,unknown
877,45,blue-collar,married,secondary,no,154,yes,no,unknown,7,may,1138,1,-1,0,unknown
891,53,services,divorced,primary,no,-291,yes,yes,unknown,7,may,591,1,-1,0,unknown
897,38,admin.,single,secondary,no,100,yes,no,unknown,7,may,786,1,-1,0,unknown
1087,30,blue-collar,married,secondary,no,309,yes,no,unknown,7,may,1574,2,-1,0,unknown
1124,29,management,married,tertiary,no,199,yes,yes,unknown,7,may,1689,4,-1,0,unknown
1140,46,blue-collar,single,tertiary,no,460,yes,no,unknown,7,may,1102,2,-1,0,unknown
1172,31,technician,single,tertiary,no,703,yes,no,unknown,8,may,943,2,-1,0,unknown
1173,39,blue-collar,married,primary,no,70,no,no,unknown,8,may,813,1,-1,0,unknown
1193,35,management,divorced,tertiary,no,3837,yes,no,unknown,8,may,1084,1,-1,0,unknown
1200,32,blue-collar,single,primary,no,611,yes,no,unknown,8,may,541,3,-1,0,unknown
1247,49,services,married,secondary,no,-8,yes,no,unknown,8,may,1119,1,-1,0,unknown
1273,41,admin.,married,secondary,no,55,yes,no,unknown,8,may,1120,2,-1,0,unknown
1340,49,admin.,divorced,secondary,no,168,yes,yes,unknown,8,may,513,1,-1,0,unknown
1370,28,admin.,divorced,secondary,no,785,yes,no,unknown,8,may,442,2,-1,0,unknown
1372,43,management,single,tertiary,no,2067,yes,no,unknown,8,may,756,1,-1,0,unknown
1416,43,management,divorced,tertiary,no,388,yes,no,unknown,8,may,2087,2,-1,0,unknown
1462,43,blue-collar,married,primary,no,-192,yes,no,unknown,8,may,1120,2,-1,0,unknown
1520,37,unemployed,single,secondary,no,381,yes,no,unknown,8,may,985,2,-1,0,unknown
1646,35,blue-collar,single,secondary,no,40,yes,no,unknown,9,may,617,4,-1,0,unknown
1647,31,technician,single,tertiary,no,22,yes,no,unknown,9,may,483,3,-1,0,unknown
1671,46,technician,married,secondary,no,332,yes,no,unknown,9,may,772,1,-1,0,unknown
1674,43,blue-collar,single,secondary,no,3,yes,no,unknown,9,may,929,3,-1,0,unknown
1688,31,admin.,married,secondary,no,307,yes,no,unknown,9,may,538,1,-1,0,unknown
1691,28,blue-collar,single,secondary,no,759,yes,no,unknown,9,may,710,1,-1,0,unknown
