,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
83,8,admin.,married,secondary,no,0,yes,no,unknown,5,may,8,1,-1,0,unknown
86,8,admin.,married,secondary,no,0,no,no,unknown,5,may,12,1,-1,0,unknown
87,5,technician,married,secondary,no,0,yes,no,unknown,5,may,11,1,-1,0,unknown
129,8,services,married,secondary,no,0,yes,no,unknown,5,may,4,1,-1,0,unknown
168,7,admin.,married,tertiary,no,0,no,no,unknown,5,may,5,2,-1,0,unknown
270,5,management,single,tertiary,no,0,yes,yes,unknown,5,may,4,2,-1,0,unknown
388,8,management,married,tertiary,no,0,yes,yes,unknown,6,may,10,1,-1,0,unknown
390,9,retired,divorced,secondary,no,0,yes,no,unknown,6,may,8,1,-1,0,unknown
446,4,technician,single,unknown,no,9,yes,no,unknown,6,may,13,1,-1,0,unknown
457,4,technician,married,secondary,no,0,yes,no,unknown,6,may,5,1,-1,0,unknown
474,3,admin.,married,secondary,no,0,no,no,unknown,6,may,13,1,-1,0,unknown
512,8,unemployed,divorced,secondary,no,0,yes,no,unknown,6,may,7,1,-1,0,unknown
569,2,services,single,secondary,no,1,yes,no,unknown,6,may,10,3,-1,0,unknown
624,3,technician,married,secondary,no,0,yes,no,unknown,6,may,5,1,-1,0,unknown
694,4,technician,married,secondary,no,0,yes,yes,unknown,6,may,13,2,-1,0,unknown
849,4,admin.,single,secondary,no,0,yes,yes,unknown,7,may,6,2,-1,0,unknown
877,6,blue-collar,married,secondary,no,0,yes,no,unknown,7,may,9,1,-1,0,unknown
891,7,services,divorced,primary,no,-1,yes,yes,unknown,7,may,4,1,-1,0,unknown
897,4,admin.,single,secondary,no,0,yes,no,unknown,7,may,6,1,-1,0,unknown
1087,3,blue-collar,married,secondary,no,0,yes,no,unknown,7,may,13,2,-1,0,unknown
1124,2,management,married,tertiary,no,0,yes,yes,unknown,7,may,14,4,-1,0,unknown
1140,6,blue-collar,single,tertiary,no,0,yes,no,unknown,7,may,9,2,-1,0,unknown
1172,3,technician,single,tertiary,no,0,yes,no,unknown,8,may,7,2,-1,0,unknown
1173,4,blue-collar,married,primary,no,0,no,no,unknown,8,may,6,1,-1,0,unknown
1193,4,management,divorced,tertiary,no,0,yes,no,unknown,8,may,9,1,-1,0,unknown
1200,3,blue-collar,single,primary,no,0,yes,no,unknown,8,may,4,3,-1,0,unknown
1247,6,services,married,secondary,no,-1,yes,no,unknown,8,may,9,1,-1,0,unknown
