,Unnamed: 0,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
7572,7572,2,7,2,1,0,0,1,0,0,30,5,7,3,-1,0,0,0
33575,33575,4,8,1,2,0,0,1,0,2,20,4,5,3,5,1,3,0
36312,36312,5,1,3,2,0,0,1,0,2,11,5,2,1,-1,0,0,0
6599,6599,5,11,2,2,0,1,1,1,0,28,5,3,1,-1,0,0,0
38845,38845,3,7,1,1,0,0,1,0,2,18,5,1,1,11,1,1,0
8425,8425,5,8,1,2,0,0,1,0,0,3,6,3,1,-1,0,0,0
10483,10483,5,1,1,2,0,0,0,1,0,16,6,2,3,-1,0,0,0
5001,5001,4,11,1,3,0,-1,1,0,0,21,5,2,1,-1,0,0,0
23872,23872,6,10,1,3,0,0,0,0,2,29,8,0,2,-1,0,0,0
749,749,3,3,1,3,0,0,1,0,0,6,5,1,3,-1,0,0,0
12878,12878,4,1,1,2,0,0,0,1,2,7,7,1,2,-1,0,0,0
11754,11754,8,3,2,3,0,0,0,0,0,20,6,0,4,-1,0,0,0
23251,23251,5,10,1,2,0,0,1,0,2,27,8,0,2,-1,0,0,0
8069,8069,2,8,3,3,0,0,1,1,0,2,6,4,4,-1,0,0,0
17187,17187,6,1,2,3,0,0,0,0,2,28,7,3,4,-1,0,0,1
5199,5199,4,7,1,1,0,-1,0,0,0,21,5,1,6,-1,0,0,0
22025,22025,7,7,1,1,0,0,1,0,2,20,8,0,18,-1,0,0,0
1050,1050,6,10,1,2,0,0,1,0,0,7,5,1,2,-1,0,0,0
13039,13039,5,3,2,3,0,0,0,1,2,8,7,0,2,-1,0,0,0
38691,38691,6,7,1,1,0,0,1,0,2,15,5,1,3,12,1,3,0
17873,17873,6,4,1,2,0,0,1,0,2,30,7,8,29,-1,0,0,1
6749,6749,2,7,1,2,0,0,1,0,0,28,5,4,2,-1,0,0,0
5167,5167,4,3,1,3,0,0,1,1,0,21,5,0,5,-1,0,0,0
15884,15884,6,3,1,3,0,0,1,1,2,21,7,3,2,-1,0,0,0
